contig,row_id,gc_content,length,predict_score,label,func_0,func_1,func_2,func_3,func_4,func_5,func_6,func_7,func_8
PC202,0,0.5021861336664585,1601,0.83806672174807,1,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
PC205,1,0.6240917782026769,2615,0.177368510692571,1,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
PC300,2,0.42748091603053434,1572,0.0184528717899141,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.3,0.0
PC341,3,0.42657342657342656,2288,0.316008725262189,0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,15.6
PC422,4,0.4788075441087001,9862,0.0372099024374445,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC668,5,0.48912613681296957,2529,0.0249107257249817,0,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0
PC688,6,0.4515570934256055,1156,0.923360347747803,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC823,7,0.3665511265164645,1154,0.0712860226631165,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC861,8,0.35568645219755324,2207,0.32751114083784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC971,9,0.6112582781456953,1510,0.24190588581641,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1011,10,0.35742009132420094,8760,0.0182823960666149,0,0.0,0.0,0.0,0.0,0.0,87.2,0.0,0.0,167.3
PC1029,11,0.34892307692307695,1625,0.330031391290518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.1
PC1232,12,0.28818061088977426,1506,0.675145456990398,1,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0
PC1244,13,0.7066779374471682,1183,0.0149356052279472,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1319,14,0.45453597497393117,9590,0.0338593864477433,0,0.0,0.0,0.0,0.0,0.0,0.0,89.1,0.0,0.0
PC1344,15,0.527693856998993,3972,0.0156008919020074,0,0.0,0.0,0.0,0.0,0.0,82.3,0.0,0.0,0.0
PC1367,16,0.4049024058102587,2203,0.422870910829216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1434,17,0.33175355450236965,2110,0.173062419298136,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1483,18,0.657030223390276,2283,0.0058254174430427,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1558,19,0.6233351092168353,1877,0.0169417516655375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1667,20,0.5243529084330643,3593,0.0459326794643175,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1811,21,0.30092592592592593,1728,0.0133512710841994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1838,22,0.561801446416831,3042,0.11830507503929,0,0.0,0.0,0.0,298.7,0.0,0.0,0.0,23.9,0.0
PC1849,23,0.4087527352297593,2285,0.0055215816274367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PC1854,24,0.2704296545914069,2374,0.131137932348673,0,0.0,0.0,0.0,0.0,16.2,0.0,33.9,0.0,0.0
