orf_id	contig	orf_index	phrog_id	phrog_category	evalue	score
PC1299722_1	PC1299722	1	NA	unannotated	NA	NA
PC1240707_3	PC1240707	3	1	integration and excision	1.6e-40	141.5
PC696176_4	PC696176	4	38523	unknown function	2e-56	193.0
PC1099230_1	PC1099230	1	15032	unknown function	5.1e-13	49.5
PC913768_1	PC913768	1	28036	unknown function	0.0021	19.5
PC905836_2	PC905836	2	1198	other	4.3e-14	54.3
PC733202_1	PC733202	1	25343	unknown function	0.079	14.9
PC317757_1	PC317757	1	NA	unannotated	NA	NA
PC1482475_2	PC1482475	2	11795	unknown function	0.22	13.3
PC1171860_3	PC1171860	3	NA	unannotated	NA	NA
PC1224314_7	PC1224314	7	4268	transcription regulation	2.2e-07	32.5
PC1347380_16	PC1347380	16	20762	unknown function	0.4	12.5
PC1359067_6	PC1359067	6	26092	unknown function	3.3e-13	51.0
PC209671_13	PC209671	13	NA	unannotated	NA	NA
PC1273007_1	PC1273007	1	NA	unannotated	NA	NA
PC384790_4	PC384790	4	6386	transcription regulation	3.9e-38	132.5
PC1481996_3	PC1481996	3	13066	unknown function	7.2e-23	83.0
PC344067_5	PC344067	5	20007	unknown function	0.014	16.8
PC600857_2	PC600857	2	1577	unknown function	3.6e-11	44.0
PC1519764_8	PC1519764	8	NA	unannotated	NA	NA
PC888504_3	PC888504	3	5807	unknown function	0.016	16.8
PC360549_2	PC360549	2	NA	unannotated	NA	NA
PC199399_1	PC199399	1	35667	unknown function	3.3e-78	264.0
PC755507_2	PC755507	2	11159	unknown function	0.019	16.7
PC358657_3	PC358657	3	18202	unknown function	1.1e-41	144.8
PC1137230_1	PC1137230	1	17467	unknown function	5.3e-10	39.4
PC1068576_2	PC1068576	2	8216	unknown function	6e-37	128.8
PC252193_6	PC252193	6	789	other	8.4e-09	36.1
PC1050510_3	PC1050510	3	1247	other	2.3e-10	41.6
PC229510_10	PC229510	10	NA	unannotated	NA	NA
PC365348_4	PC365348	4	NA	unannotated	NA	NA
PC1120419_5	PC1120419	5	NA	unannotated	NA	NA
PC263989_1	PC263989	1	5717	tail	0.061	13.0
PC1123662_6	PC1123662	6	8735	unknown function	3.1e-73	247.6
PC29987_2	PC29987	2	12710	unknown function	8.5e-20	71.8
PC621191_1	PC621191	1	11199	unknown function	0.09	12.9
PC1101214_1	PC1101214	1	11796	unknown function	4.6e-16	61.1
PC181531_2	PC181531	2	186	DNA, RNA and nucleotide metabolism	0.00024	22.4
PC835006_1	PC835006	1	NA	unannotated	NA	NA
PC1278415_2	PC1278415	2	8695	unknown function	0.37	12.5
