Contig_ID,Is_Virus
PC202,1
PC205,1
PC300,0
PC341,0
PC422,0
PC668,0
PC688,0
PC823,0
PC861,0
PC971,0
PC1011,0
PC1029,0
PC1232,1
PC1244,0
PC1319,0
PC1344,0
PC1367,0
PC1434,0
PC1483,0
PC1558,0
PC1667,0
PC1811,0
PC1838,0
PC1849,0
PC1854,0
PC1909,0
PC2055,0
PC2112,0
PC2288,0
PC2405,0
PC2549,1
PC2553,0
PC2638,0
PC2668,0
PC2734,0
PC3004,0
PC3012,0
PC3065,0
PC3198,0
PC3242,0
PC3292,0
PC3502,0
PC3549,0
PC3783,0
PC3784,0
PC3949,0
PC4114,0
PC4171,1
PC4252,0
PC4382,0
PC4474,0
PC4488,1
PC4725,0
PC4973,0
PC5012,0
PC5063,0
PC5178,0
PC5242,0
PC5618,0
PC5659,0
PC5683,0
PC5902,0
PC5940,0
PC5991,1
PC6063,0
PC6065,0
PC6067,0
PC6228,0
PC6297,0
PC6305,0
PC6350,0
PC6416,0
PC6480,0
PC6613,1
PC6772,0
PC6858,1
PC7009,0
PC7224,0
PC7724,1
PC8190,1
PC8255,0
PC8340,0
PC8417,0
PC8471,0
PC8524,0
PC8651,0
PC8726,0
PC8780,0
PC9026,0
PC9160,1
PC9326,0
PC9708,0
PC9755,0
PC9771,0
PC9909,0
PC9956,0
PC10162,0
PC10298,0
PC10329,0
PC10456,0
PC10481,0
PC10665,0
PC10680,0
PC10700,0
PC10780,0
PC10807,0
PC10926,0
PC10959,0
PC10966,1
PC11050,0
PC11329,0
PC11373,1
PC11472,0
PC11521,0
PC11567,0
PC11606,0
PC11748,0
PC11759,0
PC11786,0
PC11909,0
PC11925,0
PC11934,0
PC12192,1
PC12228,0
PC12339,0
PC12405,0
PC12426,0
PC12503,0
PC12578,0
PC12598,0
PC12672,1
PC12836,0
PC12900,0
PC12968,1
PC13082,0
PC13094,0
PC13165,0
PC13339,0
PC13524,0
PC13640,0
PC13642,0
PC13749,0
PC13774,0
PC13808,0
PC13821,1
PC13841,0
PC13919,0
PC14172,0
PC14191,0
PC14227,0
PC14236,0
PC14398,0
PC14522,0
PC14546,0
PC14656,0
PC14658,0
PC14733,0
PC14842,0
PC14849,0
PC14891,0
PC14925,0
PC14965,0
PC15115,0
PC15342,0
PC15351,0
PC15360,0
PC15783,0
PC15818,0
PC15822,0
PC15848,0
PC15861,0
PC15928,1
PC16071,0
PC16125,0
PC16135,0
PC16228,0
PC16414,0
PC16496,0
PC16610,0
PC16642,0
PC16668,0
PC16690,0
PC16813,0
PC16833,0
PC16842,1
PC16855,0
PC16987,0
PC17178,0
PC17405,1
PC17459,0
PC17508,0
PC17541,0
PC17680,0
PC17779,0
PC17797,0
PC17900,0
PC18002,0
PC18034,0
PC18180,0
PC18265,0
PC18305,0
PC18357,0
PC18371,0
PC18397,0
PC18479,0
PC18668,0
PC18811,0
PC18874,1
PC18889,0
PC18949,0
PC19078,0
PC19082,0
PC19233,0
PC19254,0
PC19293,0
PC19330,0
PC19352,0
PC19417,0
PC19481,0
PC19492,0
PC19525,0
PC19532,0
PC19649,0
PC19686,0
PC19993,0
PC20000,0
PC20126,0
PC20173,0
PC20214,0
PC20261,0
PC20286,0
PC20333,1
PC20528,0
PC20618,0
PC20708,0
PC20832,0
PC20859,0
PC20871,0
PC20905,0
PC21032,0
PC21048,0
PC21072,0
PC21119,1
PC21164,0
PC21166,0
PC21254,0
PC21255,0
PC21490,0
PC21515,0
PC21655,0
PC21685,1
PC21807,0
PC21850,0
PC22268,0
PC22293,0
PC22378,0
PC22534,0
PC22636,0
PC22658,1
PC22750,0
PC22754,0
PC22832,0
PC22938,0
PC22950,0
PC23017,0
PC23118,0
PC23285,0
PC23562,0
PC23776,0
PC23855,0
PC23901,0
PC23982,0
PC24006,0
PC24117,0
PC24171,0
PC24173,0
PC24200,0
PC24224,0
PC24229,0
PC24252,0
PC24306,0
PC24656,0
PC24755,1
PC25049,0
PC25345,0
PC25353,0
PC25451,1
PC25471,0
PC25537,0
PC25553,0
PC25637,0
PC25686,0
PC25729,1
PC25754,0
PC25798,0
PC25912,0
PC26017,0
PC26061,0
PC26279,0
PC26362,0
PC26408,0
PC26424,0
PC26637,0
PC26649,0
PC26725,0
PC26812,0
PC26840,0
PC27005,0
PC27101,0
PC27586,0
PC27628,0
PC27648,1
PC27730,0
PC27796,0
PC27806,0
PC27831,0
PC27896,0
PC27984,0
PC28108,1
PC28126,0
PC28253,0
PC28311,0
PC28369,0
PC28383,0
PC28426,0
PC28586,0
PC28655,0
PC28699,0
PC28715,0
PC28792,0
PC28958,0
PC28965,0
PC29039,0
PC29040,0
PC29110,0
PC29122,0
PC29140,0
PC29149,0
PC29224,0
PC29237,0
PC29266,0
PC29283,0
PC29458,0
PC29561,0
PC29721,1
PC29925,0
PC29987,0
PC30061,0
PC30086,0
PC30454,0
PC30469,0
PC30556,0
PC30562,1
PC30588,0
PC30629,0
PC30668,0
PC30917,0
PC30952,0
PC30974,0
PC30992,0
PC31195,0
PC31209,0
PC31290,0
PC31298,0
PC31401,0
PC31478,0
PC31483,1
PC31515,0
PC31660,0
PC31857,0
PC31890,0
PC32082,0
PC32230,0
PC32363,1
PC32543,0
PC32575,0
PC32768,0
PC32812,1
PC32845,0
PC32967,0
PC33030,0
PC33059,0
PC33060,0
PC33092,0
PC33107,0
PC33163,0
PC33211,0
PC33309,0
PC33313,0
PC33586,1
PC33622,0
PC33648,0
PC33664,0
PC33677,0
PC33733,0
PC33808,0
PC33868,0
PC33926,0
PC34065,0
PC34199,0
PC34223,1
PC34290,0
PC34351,0
PC34404,1
PC34530,0
PC34536,0
PC34542,0
PC34624,0
PC34625,1
PC34754,0
PC34791,0
PC34873,0
PC34985,0
PC35104,0
PC35256,0
PC35355,0
PC35359,0
PC35540,0
PC36055,0
PC36249,0
PC36293,0
PC36352,0
PC36407,0
PC36440,0
PC36535,0
PC36557,0
PC36727,0
PC36778,0
PC37180,0
PC37299,0
PC37376,0
PC37399,1
PC37438,0
PC37440,0
PC37497,0
PC37537,0
PC37563,0
PC37808,0
PC37871,0
PC37915,1
PC37963,0
PC38053,0
PC38226,0
PC38291,0
PC38421,0
PC38636,0
PC38789,0
PC38861,0
PC38946,0
PC39164,0
PC39290,0
PC39415,0
PC39619,0
PC39737,0
PC39895,0
PC39949,1
PC39958,0
PC40021,0
PC40046,0
PC40067,0
PC40111,0
PC40172,0
PC40175,0
PC40194,0
PC40362,0
PC40446,0
PC40507,0
PC40701,0
PC40765,0
PC40773,0
PC40810,0
PC40840,0
PC40847,0
PC40857,0
PC40877,0
PC40909,0
PC40910,0
PC40923,0
PC40942,1
PC40992,0
PC41058,0
PC41260,0
PC41350,0
PC41486,0
PC41521,0
PC41674,0
PC41708,0
PC41789,0
PC41960,0
PC42020,0
PC42442,0
PC42452,0
PC42461,0
PC42601,0
PC42710,0
PC42715,0
PC43000,0
PC43034,0
PC43098,0
PC43121,0
PC43230,0
PC43433,0
PC43590,0
PC43902,0
PC44057,0
PC44268,0
PC44289,0
PC44305,0
PC44357,0
PC44445,0
PC44775,0
PC44788,0
PC44872,0
PC44997,1
PC45029,0
PC45074,0
PC45201,0
PC45286,0
PC45448,0
PC45455,0
PC45719,0
PC46133,0
PC46204,0
PC46266,0
PC46300,0
PC46372,1
PC46431,0
PC46454,0
PC46491,1
PC46497,0
PC46538,0
PC46546,0
PC46604,0
PC46728,0
PC46755,0
PC46789,0
